hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,9,2015,January,19,27,1,9,2,0.0,0,BB,PRT,Online TA,TA/TO,0,2,0,F,F,0,No Deposit,,126.0,0,Transient,135.59,0,1,Check-Out,2016-02-21
City Hotel,1,0,2017,May,41,7,0,3,1,0.0,0,BB,GBR,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,18.0,,0,Transient-Party,136.64,0,0,Canceled,2016-04-05
Resort Hotel,1,29,2017,March,5,7,3,9,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,10.0,,0,Transient-Party,87.56,0,3,Canceled,2017-02-04
City Hotel,0,43,2017,June,7,27,0,0,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,Non Refund,11.0,,0,Contract,105.48,0,0,Check-Out,2017-02-26
Resort Hotel,0,40,2016,February,30,12,0,1,4,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,34.0,,0,Transient,226.39,0,0,Check-Out,2017-10-31
Resort Hotel,0,2,2017,July,26,20,3,3,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,1,D,B,0,No Deposit,9.0,,0,Transient,55.82,0,0,Check-Out,2017-06-30
City Hotel,0,137,2017,February,50,6,2,9,2,0.0,0,SC,USA,Groups,TA/TO,0,0,0,C,C,1,No Deposit,25.0,,0,Transient-Party,79.59,0,2,Check-Out,2017-01-01
City Hotel,0,13,2017,August,40,12,2,5,2,0.0,0,SC,USA,Online TA,TA/TO,0,1,0,D,D,0,Non Refund,37.0,,0,Transient,90.09,0,2,Check-Out,2016-07-20
City Hotel,1,73,2017,June,35,20,0,7,2,3.0,0,SC,CN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,34.0,,0,Transient,112.73,0,2,Canceled,2017-03-26
Resort Hotel,0,77,2017,December,18,26,1,6,1,0.0,0,HB,GBR,Corporate,Direct,0,0,0,A,A,1,No Deposit,18.0,,0,Contract,135.96,0,0,Check-Out,2017-02-18
City Hotel,1,9,2016,November,33,13,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,E,E,1,No Deposit,17.0,,0,Transient,127.36,0,1,Canceled,2017-06-02
Resort Hotel,0,2,2016,August,31,3,2,9,2,0.0,0,BB,PRT,Offline TA/TO,Direct,0,0,0,F,F,0,No Deposit,25.0,,0,Transient,56.54,0,1,Check-Out,2017-04-19
City Hotel,0,2,2016,June,15,12,2,9,1,0.0,0,SC,USA,Direct,Direct,0,0,0,C,C,0,No Deposit,18.0,,0,Transient,139.66,0,4,Check-Out,2016-02-25
City Hotel,0,26,2016,September,20,19,1,4,1,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient,139.37,0,1,Check-Out,2016-12-12
City Hotel,0,69,2016,September,49,25,2,7,2,0.0,0,BB,DEU,Corporate,Corporate,0,0,1,B,B,0,No Deposit,5.0,,155,Transient,108.27,0,0,Check-Out,2017-01-09
Resort Hotel,0,11,2016,February,28,24,3,6,1,0.0,0,BB,FRA,Online TA,Direct,0,0,0,B,B,0,No Deposit,13.0,,0,Transient-Party,76.8,0,0,Check-Out,2017-08-05
City Hotel,0,5,2017,May,25,22,2,5,2,2.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6.0,,0,Transient,117.9,0,0,Check-Out,2017-01-07
Resort Hotel,0,71,2016,December,42,5,0,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,92.42,0,0,Check-Out,2017-07-10
Resort Hotel,1,12,2015,April,14,15,2,2,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,E,E,0,No Deposit,37.0,,0,Transient-Party,102.9,0,0,Canceled,2017-01-11
City Hotel,0,132,2016,January,12,17,0,9,2,0.0,0,BB,FRA,Direct,TA/TO,0,0,0,F,F,0,No Deposit,28.0,,0,Transient-Party,105.93,0,1,Check-Out,2016-05-23
City Hotel,1,53,2016,November,52,14,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,2,E,E,0,No Deposit,,,0,Transient-Party,65.7,0,0,Canceled,2017-03-15
City Hotel,1,70,2017,December,42,26,3,6,2,0.0,0,SC,PRT,Online TA,Direct,0,0,0,G,D,0,No Deposit,31.0,,0,Transient-Party,106.72,0,0,Canceled,2016-07-08
Resort Hotel,0,166,2016,August,23,27,1,9,2,0.0,0,SC,PRT,Groups,TA/TO,0,0,1,A,B,0,No Deposit,30.0,,0,Transient,153.18,0,0,Check-Out,2017-06-30
City Hotel,0,14,2016,August,50,6,3,6,2,0.0,0,SC,BRA,Corporate,TA/TO,1,0,0,A,A,0,No Deposit,20.0,,0,Transient,135.57,0,1,Check-Out,2017-05-11
Resort Hotel,1,65,2017,May,20,27,0,2,2,1.0,0,BB,CN,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,26.0,,0,Transient,96.38,0,0,Canceled,2017-06-03
City Hotel,0,33,2015,May,36,24,3,8,2,0.0,0,BB,ITA,Direct,Direct,0,0,0,B,B,1,No Deposit,4.0,,0,Transient,94.07,0,1,Check-Out,2016-07-07
Resort Hotel,0,11,2015,November,2,20,1,0,2,0.0,0,HB,BEL,Offline TA/TO,Direct,0,1,0,F,F,1,No Deposit,28.0,111.0,0,Transient,184.15,0,1,Check-Out,2016-03-06
Resort Hotel,0,72,2017,November,37,11,0,7,2,1.0,0,BB,PRT,Online TA,Corporate,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,65.94,0,0,Check-Out,2017-06-02
City Hotel,0,2,2016,June,10,22,1,2,2,0.0,0,Undefined,PRT,Online TA,Direct,0,0,0,A,A,1,No Deposit,21.0,,10,Transient,134.14,0,3,Check-Out,2016-08-30
Resort Hotel,0,149,2017,April,13,17,0,6,2,0.0,0,BB,PRT,Direct,TA/TO,0,0,0,C,D,0,No Deposit,27.0,,0,Transient-Party,159.93,0,4,Check-Out,2017-01-30
Resort Hotel,0,91,2017,March,43,26,2,4,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,34.0,,0,Transient,55.59,0,3,Check-Out,2016-11-28
Resort Hotel,1,315,2017,January,11,20,0,5,1,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,18.0,,0,Transient,97.55,0,3,Canceled,2016-02-08
City Hotel,1,49,2015,June,26,28,0,3,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,14.0,,0,Transient-Party,155.03,0,0,Canceled,2016-03-29
City Hotel,1,201,2017,July,48,12,2,5,2,0.0,0,BB,NLD,Offline TA/TO,Direct,0,0,0,D,D,0,No Deposit,13.0,,0,Transient,72.35,0,0,Canceled,2016-02-19
City Hotel,0,16,2017,September,50,3,0,9,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,36.0,,0,Transient,111.81,0,0,Check-Out,2016-05-29
City Hotel,0,60,2016,October,24,14,1,8,2,0.0,0,BB,PRT,Direct,TA/TO,0,1,0,A,A,0,Non Refund,,,0,Transient,42.25,0,0,Check-Out,2016-01-27
City Hotel,0,60,2017,May,5,28,2,4,1,0.0,0,BB,BEL,Online TA,Direct,0,0,0,D,D,0,No Deposit,34.0,,0,Transient,86.97,0,1,Check-Out,2017-06-30
City Hotel,0,92,2016,March,15,19,1,9,2,0.0,0,HB,BEL,Online TA,Direct,0,0,0,D,D,0,No Deposit,29.0,,0,Transient-Party,167.93,0,2,Check-Out,2016-10-02
City Hotel,0,232,2017,November,33,20,0,8,2,0.0,1,BB,ESP,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,35.0,,0,Transient,49.19,0,2,Check-Out,2016-12-08
City Hotel,1,126,2016,October,18,18,0,6,4,2.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,32.0,,0,Transient,31.59,0,0,Canceled,2016-11-22
City Hotel,0,6,2016,July,38,17,3,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,13.0,,0,Transient,103.39,0,0,Check-Out,2016-10-28
Resort Hotel,0,66,2015,January,52,2,3,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,11.0,,0,Group,129.04,0,2,Check-Out,2017-06-25
Resort Hotel,0,30,2017,June,33,12,1,5,2,3.0,0,BB,IRL,Online TA,Direct,0,0,1,D,D,0,No Deposit,36.0,,0,Transient-Party,83.1,2,2,Check-Out,2016-10-28
City Hotel,0,10,2016,August,33,3,3,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,36.0,104.0,0,Transient,91.25,0,2,Check-Out,2017-09-06
City Hotel,0,52,2015,November,28,10,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,12.0,,0,Transient,138.43,0,0,Check-Out,2017-04-11
Resort Hotel,1,40,2015,July,10,21,0,8,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,12.0,,0,Transient,160.2,0,0,Canceled,2017-10-28
City Hotel,0,2,2017,June,31,23,3,2,1,0.0,0,SC,CN,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,,,0,Transient,128.4,0,2,Check-Out,2017-05-06
City Hotel,0,63,2015,May,49,7,2,6,1,0.0,0,BB,PRT,Offline TA/TO,Direct,0,2,0,A,A,2,No Deposit,24.0,,0,Transient-Party,147.68,0,1,Check-Out,2016-12-15
City Hotel,0,7,2016,May,36,19,2,8,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,32.0,,0,Transient,103.71,0,2,Check-Out,2016-04-15
City Hotel,0,111,2017,January,40,7,1,5,2,0.0,0,SC,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,2.0,,0,Transient,76.91,0,3,Check-Out,2017-06-06
City Hotel,1,24,2016,February,45,6,3,7,2,1.0,0,BB,ITA,Direct,TA/TO,0,1,0,A,A,0,No Deposit,21.0,,0,Transient,38.06,0,4,Canceled,2016-02-26
Resort Hotel,0,71,2016,October,21,27,2,7,2,0.0,0,BB,USA,Direct,TA/TO,0,0,0,B,B,0,No Deposit,17.0,,0,Transient,43.02,0,1,Check-Out,2017-05-09
Resort Hotel,0,15,2016,May,18,18,1,4,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,11.0,,0,Contract,99.38,0,2,Check-Out,2017-04-13
City Hotel,0,183,2017,November,51,6,1,9,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,163.48,0,0,Check-Out,2016-07-30
Resort Hotel,0,4,2017,May,24,4,1,9,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,1,A,A,1,No Deposit,36.0,,0,Transient,62.68,0,2,Check-Out,2016-10-18
Resort Hotel,1,175,2016,December,39,2,2,3,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,1.0,,0,Transient-Party,243.37,0,1,Canceled,2016-10-28
City Hotel,0,15,2016,March,34,14,2,8,3,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,1,A,A,0,No Deposit,29.0,,0,Transient,97.15,0,1,Check-Out,2016-03-09
City Hotel,0,12,2016,March,7,3,3,1,2,0.0,0,BB,GBR,Groups,TA/TO,0,1,0,C,C,0,Non Refund,21.0,,0,Transient,59.88,0,0,Check-Out,2017-07-24
City Hotel,0,73,2017,August,17,17,1,1,2,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,,0,Transient-Party,80.25,0,2,Check-Out,2016-03-27
City Hotel,0,63,2016,October,17,13,1,5,2,1.0,0,BB,GBR,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient,101.76,0,2,Check-Out,2016-08-30
City Hotel,0,253,2016,February,10,18,2,6,1,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,32.0,,0,Transient,166.5,0,1,Check-Out,2017-11-04
Resort Hotel,1,53,2017,July,41,6,2,5,2,1.0,0,SC,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,25.0,,0,Transient,110.22,0,1,Canceled,2016-04-24
City Hotel,0,18,2015,March,51,5,1,7,2,0.0,0,HB,PRT,Online TA,GDS,0,0,0,B,B,1,No Deposit,18.0,,0,Transient-Party,49.08,2,0,Check-Out,2016-05-06
City Hotel,1,70,2016,September,51,3,0,3,2,2.0,0,SC,USA,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,38.0,,0,Transient,184.18,0,1,Canceled,2016-04-22
Resort Hotel,1,63,2015,July,11,3,1,8,2,0.0,0,BB,IRL,Online TA,Direct,0,0,0,A,A,0,No Deposit,39.0,,0,Transient,77.35,0,0,Canceled,2017-10-27
City Hotel,1,63,2016,August,24,3,0,9,1,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,E,E,1,No Deposit,31.0,,0,Transient,68.47,0,0,Canceled,2017-04-09
Resort Hotel,1,272,2016,April,13,8,0,0,4,0.0,0,SC,NLD,Online TA,TA/TO,0,1,1,A,A,0,Non Refund,18.0,,0,Transient-Party,126.1,0,0,Canceled,2016-01-03
Resort Hotel,1,23,2017,April,4,23,3,4,2,0.0,0,BB,ESP,Corporate,TA/TO,0,0,0,A,A,1,No Deposit,,103.0,0,Transient,149.81,0,3,Canceled,2017-02-22
City Hotel,0,44,2016,August,33,17,3,2,1,0.0,1,SC,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,0,Contract,148.47,1,1,Check-Out,2017-11-05
City Hotel,0,138,2015,May,45,8,0,6,2,0.0,0,SC,USA,Direct,TA/TO,0,0,0,A,A,0,No Deposit,35.0,,0,Transient,26.36,0,1,Check-Out,2016-04-23
Resort Hotel,0,84,2017,September,5,27,1,4,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,C,C,0,Non Refund,13.0,,0,Transient,178.23,0,1,Check-Out,2016-06-02
Resort Hotel,1,18,2017,February,34,22,1,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,G,E,0,Non Refund,21.0,,20,Transient,57.81,0,0,Canceled,2016-11-15
Resort Hotel,0,112,2017,April,2,22,3,2,2,0.0,0,SC,GBR,Groups,TA/TO,0,0,0,C,C,0,No Deposit,4.0,,0,Transient,133.54,0,0,Check-Out,2016-01-14
City Hotel,0,14,2017,February,44,26,1,3,1,0.0,0,SC,GBR,Direct,TA/TO,0,0,1,A,A,0,Non Refund,20.0,,0,Transient,125.73,0,3,Check-Out,2017-06-30
Resort Hotel,0,86,2016,February,4,21,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,10.0,,0,Transient,132.08,0,0,Check-Out,2016-06-27
City Hotel,0,155,2016,April,23,27,2,1,2,0.0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13.0,,0,Transient,95.26,0,1,Check-Out,2017-06-20
City Hotel,0,114,2015,June,7,10,1,6,2,0.0,1,BB,PRT,Groups,TA/TO,0,0,0,C,C,1,No Deposit,24.0,,0,Transient-Party,157.0,1,0,Check-Out,2017-03-26
City Hotel,0,1,2015,February,22,24,0,9,2,0.0,0,BB,IRL,Groups,TA/TO,0,1,0,A,A,0,Non Refund,,,0,Group,106.47,0,1,Check-Out,2016-10-07
Resort Hotel,0,56,2017,February,23,4,1,5,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,10.0,,0,Transient,168.09,0,3,Check-Out,2017-04-27
City Hotel,0,13,2017,November,29,9,0,9,2,0.0,0,Undefined,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient-Party,54.46,0,1,Check-Out,2017-06-09
City Hotel,0,31,2016,July,44,25,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,10.0,,0,Transient-Party,185.42,0,2,Check-Out,2017-08-10
Resort Hotel,1,110,2015,September,52,4,3,9,2,1.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient,27.04,0,2,Canceled,2017-05-08
City Hotel,0,15,2017,September,18,15,3,5,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,11.0,,0,Transient,182.46,0,3,Check-Out,2017-10-10
City Hotel,0,211,2015,February,49,10,1,7,2,0.0,0,HB,DEU,Direct,TA/TO,0,0,0,A,A,0,Non Refund,8.0,,0,Transient-Party,82.58,0,2,Check-Out,2017-09-08
City Hotel,0,2,2016,August,23,3,1,0,4,0.0,0,BB,ITA,Online TA,TA/TO,0,0,1,B,B,1,No Deposit,27.0,100.0,0,Transient,124.47,0,1,Check-Out,2017-09-06
City Hotel,0,15,2015,November,7,7,0,6,2,0.0,0,BB,USA,Groups,TA/TO,0,0,0,D,D,1,No Deposit,8.0,,0,Transient-Party,85.3,0,3,Check-Out,2017-03-18
Resort Hotel,1,4,2015,June,32,15,1,3,2,1.0,0,BB,ITA,Groups,TA/TO,0,0,0,C,C,0,No Deposit,24.0,,0,Transient,64.33,0,0,Canceled,2016-06-19
Resort Hotel,0,54,2016,November,38,18,0,8,2,0.0,0,SC,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,86.2,0,1,Check-Out,2016-10-29
City Hotel,1,22,2017,December,16,19,2,7,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,30.0,,0,Transient,142.01,0,0,Canceled,2017-06-29
Resort Hotel,0,56,2016,July,31,4,3,8,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,D,D,0,No Deposit,1.0,,0,Transient,123.63,1,0,Check-Out,2016-06-25
Resort Hotel,0,166,2016,February,23,9,0,8,2,0.0,0,SC,DEU,Online TA,Corporate,0,1,0,A,A,1,No Deposit,28.0,,0,Transient,162.4,0,0,Check-Out,2016-05-05
City Hotel,0,78,2017,August,8,3,2,7,2,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,130.76,0,1,Check-Out,2017-09-18
Resort Hotel,0,3,2016,November,21,1,2,2,1,0.0,0,SC,BRA,Corporate,TA/TO,0,0,0,B,B,0,No Deposit,29.0,,0,Transient,122.82,0,1,Check-Out,2017-11-06
City Hotel,0,0,2017,July,23,11,1,2,2,0.0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,4.0,,0,Transient,181.85,0,0,Check-Out,2017-01-01
Resort Hotel,0,86,2017,October,18,18,2,8,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,127.79,0,0,Check-Out,2017-05-11
Resort Hotel,0,8,2016,July,48,11,2,6,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,D,C,0,No Deposit,30.0,,0,Transient,62.12,0,1,Check-Out,2017-06-06
City Hotel,0,58,2016,June,21,2,1,8,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,26.0,,0,Transient,50.89,0,0,Check-Out,2017-07-20
City Hotel,0,192,2017,December,33,7,3,7,2,2.0,0,HB,FRA,Corporate,TA/TO,0,0,1,A,A,0,No Deposit,12.0,,0,Transient-Party,189.73,0,0,Check-Out,2016-05-15
Resort Hotel,1,65,2017,February,1,13,2,6,2,0.0,0,BB,ESP,Direct,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient-Party,102.23,0,0,Canceled,2017-04-14
City Hotel,0,104,2017,June,17,10,1,1,1,0.0,0,BB,NLD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,108.9,0,1,Check-Out,2017-01-14
City Hotel,0,38,2015,February,47,24,2,9,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient,79.78,0,0,Check-Out,2016-08-05
City Hotel,1,39,2017,August,47,17,2,2,2,0.0,0,SC,BRA,Online TA,Direct,0,0,0,E,C,0,No Deposit,24.0,,0,Transient,35.72,0,0,Canceled,2016-06-01
Resort Hotel,0,2,2017,December,51,28,0,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,194.83,0,0,Check-Out,2017-03-04
City Hotel,0,12,2016,December,3,5,0,1,2,1.0,0,BB,PRT,Direct,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,50.37,0,1,Check-Out,2016-12-03
Resort Hotel,0,3,2017,March,45,11,1,0,4,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,16.0,,0,Transient,61.77,0,0,Check-Out,2016-12-31
City Hotel,0,30,2016,September,14,3,0,3,2,2.0,0,SC,USA,Groups,TA/TO,0,0,0,B,B,0,No Deposit,21.0,,0,Transient-Party,91.86,0,1,Check-Out,2016-03-15
City Hotel,0,88,2016,November,1,1,1,8,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,30.0,,0,Contract,85.05,0,0,Check-Out,2017-07-29
City Hotel,0,10,2017,November,5,26,1,8,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,5.0,,0,Transient,79.96,0,1,Check-Out,2016-12-30
City Hotel,0,143,2016,July,40,14,3,4,1,0.0,0,BB,ESP,Direct,TA/TO,0,0,2,E,E,0,Non Refund,19.0,,0,Contract,137.24,0,2,Check-Out,2017-05-19
City Hotel,0,59,2016,March,31,19,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,156.54,0,1,Check-Out,2016-10-27
Resort Hotel,0,72,2016,June,30,8,2,3,1,0.0,0,SC,DEU,Offline TA/TO,TA/TO,0,2,1,C,F,0,No Deposit,27.0,,0,Transient,104.1,0,2,Check-Out,2017-04-30
City Hotel,0,135,2017,October,46,2,2,9,2,0.0,0,SC,PRT,Complementary,TA/TO,0,0,1,A,A,0,No Deposit,,106.0,0,Transient,119.63,1,3,Check-Out,2017-04-08
Resort Hotel,0,54,2016,August,5,25,1,0,1,2.0,0,BB,GBR,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,10.0,,0,Transient,64.79,0,1,Check-Out,2017-09-04
City Hotel,0,72,2017,May,5,19,3,0,3,0.0,0,BB,GBR,Online TA,Direct,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,132.79,0,0,Check-Out,2016-05-29
Resort Hotel,0,60,2017,March,49,20,1,0,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,3,0,B,B,0,No Deposit,12.0,,0,Transient-Party,94.44,0,0,Check-Out,2017-10-15
Resort Hotel,1,5,2016,August,32,15,1,8,2,0.0,0,BB,PRT,Online TA,Direct,0,0,0,B,B,0,No Deposit,16.0,,0,Transient,89.7,0,0,Canceled,2017-05-05
Resort Hotel,0,16,2017,June,41,12,0,0,2,0.0,0,BB,IRL,Direct,TA/TO,0,0,0,A,A,0,No Deposit,19.0,,0,Transient-Party,150.08,0,0,Check-Out,2017-09-21
Resort Hotel,0,126,2017,June,28,12,1,9,1,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,32.0,,0,Transient,42.05,0,0,Check-Out,2017-10-11
Resort Hotel,0,275,2016,December,8,22,0,1,2,0.0,0,BB,DEU,Direct,TA/TO,0,0,0,C,C,0,No Deposit,24.0,,0,Transient,153.28,0,1,Check-Out,2016-01-17
City Hotel,1,14,2017,January,28,7,3,5,2,0.0,0,BB,USA,Groups,TA/TO,0,0,1,D,D,0,No Deposit,21.0,,0,Transient,104.18,0,2,Canceled,2017-04-22
City Hotel,1,41,2016,March,51,10,0,9,2,0.0,0,HB,ITA,Direct,Direct,0,0,0,D,D,2,No Deposit,2.0,,0,Contract,85.23,0,1,Canceled,2017-08-31
City Hotel,0,24,2015,December,7,9,3,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,2.0,,0,Transient,185.91,0,0,Check-Out,2017-02-09
City Hotel,1,83,2016,December,7,15,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,36.0,,38,Transient,142.97,0,0,Canceled,2016-04-28
Resort Hotel,1,62,2016,April,19,28,1,7,1,0.0,0,BB,DEU,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,35.0,,0,Transient-Party,30.35,0,0,Canceled,2016-12-05
City Hotel,0,3,2015,December,24,26,0,8,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,6.0,,0,Transient-Party,150.39,0,0,Check-Out,2017-07-16
Resort Hotel,1,275,2016,March,33,16,1,9,1,1.0,0,BB,BRA,Online TA,TA/TO,0,0,1,A,A,0,Non Refund,37.0,,0,Transient,133.54,0,2,Canceled,2017-05-03
City Hotel,1,206,2016,January,9,6,2,0,2,0.0,0,SC,PRT,Direct,Corporate,0,0,0,C,C,0,No Deposit,,,176,Transient-Party,49.41,0,2,Canceled,2016-03-26
Resort Hotel,0,101,2016,April,49,27,1,7,3,0.0,0,BB,PRT,Online TA,Corporate,0,0,2,A,C,0,No Deposit,30.0,,0,Transient,103.5,0,0,Check-Out,2017-11-23
City Hotel,0,62,2015,July,8,9,2,3,2,0.0,0,SC,BEL,Online TA,TA/TO,1,0,1,B,B,0,No Deposit,20.0,,169,Transient,143.13,0,1,Check-Out,2017-07-31
City Hotel,0,27,2017,January,11,10,3,5,1,0.0,2,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,10.0,,0,Transient-Party,24.45,0,1,Check-Out,2017-04-19
Resort Hotel,0,40,2016,March,51,25,0,9,2,0.0,0,HB,FRA,Complementary,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient,142.12,0,1,Check-Out,2016-02-10
Resort Hotel,1,32,2015,October,20,8,1,9,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,15.0,,0,Transient-Party,89.47,0,1,Canceled,2016-03-29
City Hotel,1,40,2016,August,30,13,2,1,2,0.0,0,BB,BEL,Groups,TA/TO,0,0,1,A,A,0,No Deposit,10.0,,0,Transient,98.87,0,0,Canceled,2016-03-18
City Hotel,1,5,2016,August,23,26,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,24.0,,0,Transient,158.08,0,0,Canceled,2016-02-04
City Hotel,1,149,2016,December,14,9,0,2,2,1.0,0,BB,ITA,Online TA,Direct,0,0,0,D,D,0,No Deposit,38.0,,0,Transient,72.44,0,4,Canceled,2017-11-01
City Hotel,0,68,2016,March,27,18,0,6,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,36.0,132.0,0,Transient,57.21,0,1,Check-Out,2016-03-03
Resort Hotel,1,45,2015,November,41,2,1,8,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,34.0,120.0,0,Transient,138.72,0,0,Canceled,2017-03-13
